service_id,date,exception_type
2.170.3578,20181204,1
2.170.3578,20181205,1
2.170.3578,20181207,1
2.170.3578,20181210,1
2.170.3578,20181211,1
2.170.3578,20181212,1
2.170.3578,20181213,1
2.170.3578,20181214,1
2.170.3578,20181217,1
2.170.3578,20181218,1
2.170.3578,20181219,1
2.170.3578,20181220,1
2.170.3578,20181221,1
2.170.3578,20181224,1
2.170.3578,20181227,1
2.170.3578,20181228,1
2.170.3578,20181231,1
2.171.3578,20181003,1
2.171.3578,20181004,1
2.171.3578,20181005,1
2.171.3578,20181008,1
2.171.4875,20181006,1
2.171.4875,20181013,1
2.171.4875,20181020,1
2.171.4875,20181027,1
2.171.4875,20181103,1
2.171.4875,20181110,1
2.171.4875,20181117,1
2.171.4875,20181124,1
2.171.4875,20181201,1
2.171.4875,20181215,1
2.171.4875,20181222,1
2.171.4875,20181229,1
2.171.4876,20181007,1
2.171.4876,20181012,1
2.171.4876,20181014,1
2.171.4876,20181021,1
2.171.4876,20181028,1
2.171.4876,20181101,1
2.171.4876,20181104,1
2.171.4876,20181111,1
2.171.4876,20181118,1
2.171.4876,20181125,1
2.171.4876,20181202,1
2.171.4876,20181206,1
2.171.4876,20181208,1
2.171.4876,20181209,1
2.171.4876,20181216,1
2.171.4876,20181223,1
2.171.4876,20181225,1
2.171.4876,20181226,1
2.171.4876,20181230,1
2.386.4927,20181002,1
2.386.4927,20181003,1
2.386.4927,20181004,1
2.386.4927,20181005,1
2.386.4927,20181008,1
2.386.4927,20181009,1
2.386.4927,20181010,1
2.386.4927,20181011,1
2.386.4927,20181015,1
2.386.4927,20181016,1
2.386.4927,20181017,1
